dataset	fs_method	n_features	integration_method	task	metric_name	ValueMeanRaw	ValueSDRaw	OrientedMean	OrientedSD	NSeeds	EffectiveFeaturesMin	EffectiveFeaturesMax	RuntimeMean
DLPFC	TFs	2000	cellcharter	clustering_eval	nmi	0.35290653003333333	0.04485617777648217	0.35290653003333333	0.04485617777648217	3	1462	1462	36.152403589933336
DLPFC	TFs	2000	cellcharter	clustering_eval	silhouette	0.029338402066666668	0.008732540093246597	0.029338402066666668	0.008732540093246597	3	1462	1462	36.152403589933336
DLPFC	TFs	2000	cellcharter	integration_eval	GC	0.9319696513000001	0.017472239820263056	0.9319696513000001	0.017472239820263056	3	1462	1462	38.57802412193333
DLPFC	TFs	2000	cellcharter	integration_eval	ILL	0.37636937653333336	0.003434710806879988	0.37636937653333336	0.003434710806879988	3	1462	1462	38.57802412193333
DLPFC	TFs	2000	cellcharter	integration_eval	bASW	0.9915238176666668	0.0007287670797246926	0.9915238176666668	0.0007287670797246926	3	1462	1462	38.57802412193333
DLPFC	TFs	2000	cellcharter	integration_eval	dASW	0.5084226923	0.00039454853843696856	0.5084226923	0.00039454853843696856	3	1462	1462	38.57802412193333
DLPFC	TFs	2000	cellcharter	integration_eval	dLISI	0.7751468315666666	0.002974994907633211	0.7751468315666666	0.002974994907633211	3	1462	1462	38.57802412193333
DLPFC	TFs	2000	cellcharter	integration_eval	iLISI	0.425612664	0.012880318606796518	0.425612664	0.012880318606796518	3	1462	1462	38.57802412193333
DLPFC	TFs	2000	scvi	alignment_eval	Accuracy	0.31296666666666667	0.0035949038002891483	0.31296666666666667	0.0035949038002891483	3	1462	1462	18.724835471233334
DLPFC	TFs	2000	scvi	alignment_eval	Ratio	0.7340294017333333	0.007784051278599459	-0.7340294017333333	0.007784051278599459	3	1462	1462	18.724835471233334
DLPFC	TFs	2000	scvi	clustering_eval	CHAOS	0.08630399026666667	0.0005213884529403926	-0.08630399026666667	0.0005213884529403926	3	1462	1462	19.55222886583333
DLPFC	TFs	2000	scvi	clustering_eval	PAS	0.8274166666333334	0.006634819766454326	-0.8274166666333334	0.006634819766454326	3	1462	1462	19.55222886583333
DLPFC	TFs	2000	scvi	clustering_eval	ari	0.07900838533333333	0.004264259096219604	0.07900838533333333	0.004264259096219604	3	1462	1462	19.55222886583333
DLPFC	TFs	2000	scvi	clustering_eval	nmi	0.11870536336666666	0.005945454616822221	0.11870536336666666	0.005945454616822221	3	1462	1462	19.55222886583333
DLPFC	TFs	2000	scvi	clustering_eval	silhouette	0.07551807416666667	0.011025746448694827	0.07551807416666667	0.011025746448694827	3	1462	1462	19.55222886583333
DLPFC	TFs	2000	scvi	integration_eval	GC	0.7672763788000001	0.013072071933454575	0.7672763788000001	0.013072071933454575	3	1462	1462	21.261071234933333
DLPFC	TFs	2000	scvi	integration_eval	ILL	0.2697508105	0.0035859986771043274	0.2697508105	0.0035859986771043274	3	1462	1462	21.261071234933333
DLPFC	TFs	2000	scvi	integration_eval	bASW	0.9873506287666666	0.0015745341765571253	0.9873506287666666	0.0015745341765571253	3	1462	1462	21.261071234933333
DLPFC	TFs	2000	scvi	integration_eval	dASW	0.49179886376666665	0.002162523435538335	0.49179886376666665	0.002162523435538335	3	1462	1462	21.261071234933333
