dataset	fs_method	n_features	integration_method	Dataset	Integrator	Task	SeedSD	NSeeds
STOmics0218	statistic_mean	2000	scvi	STOmics-0218	scVI	Integration	0.005639773138672881	3
STOmics0218	statistic_variance	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.01315346689639083	3
STOmics0218	statistic_variance	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.003716973532264237	3
STOmics0218	statistic_variance	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.005755048451474806	3
STOmics0218	statistic_variance	2000	scvi	STOmics-0218	scVI	Clustering	0.03977439149793296	3
STOmics0218	statistic_variance	2000	scvi	STOmics-0218	scVI	Core overall	0.015960387672169667	3
STOmics0218	statistic_variance	2000	scvi	STOmics-0218	scVI	Integration	0.009040097078667177	3
STOmics0218	triku	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.026915427570587666	3
STOmics0218	triku	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.01089021290141918	3
STOmics0218	triku	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.005783074686572916	3
STOmics0218	triku	2000	scvi	STOmics-0218	scVI	Clustering	0.015180389509564029	3
STOmics0218	triku	2000	scvi	STOmics-0218	scVI	Core overall	0.00866685192113833	3
STOmics0218	triku	2000	scvi	STOmics-0218	scVI	Integration	0.005440069657790484	3
STOmics0218	wilcoxon	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.011084021163412072	3
STOmics0218	wilcoxon	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.006342254853743167	3
STOmics0218	wilcoxon	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.0045100838097501825	3
STOmics0218	wilcoxon	2000	scvi	STOmics-0218	scVI	Clustering	0.022560521590330666	3
STOmics0218	wilcoxon	2000	scvi	STOmics-0218	scVI	Core overall	0.006800540438610243	3
STOmics0218	wilcoxon	2000	scvi	STOmics-0218	scVI	Integration	0.009882508217901756	3
STOmics0224	Brennecke	2000	cellcharter	STOmics-0224	CellCharter	Clustering	0.053875528401807635	3
